book,tf,side,entry_time,entry,stop,tp1,tp2,qty,risk_pts,planned_rr,exit_time,exit_price,pnl,r,exit_reason,tp1_hit,mfe_pts,mae_pts
scalp-5m,5m,-1,2026-07-01 15:10:00-04:00,30466.25,30523.113718983175,30409.386281016825,,2,56.863718983175204,1.0,2026-07-01 15:45:00-04:00,30409.386281016825,224.45487593270082,0.9868105707222226,tp1,True,65.0,44.5
scalp-5m,5m,-1,2026-07-06 09:35:00-04:00,30175.75,30219.905285402245,30131.594714597755,,2,44.15528540224477,1.0,2026-07-06 09:40:00-04:00,30131.594714597755,173.6211416089791,0.9830144909455875,tp1,True,50.75,28.5
scalp-5m,5m,-1,2026-07-08 14:10:00-04:00,29686.25,29741.570842974295,29630.929157025705,,2,55.320842974295374,1.0,2026-07-08 14:30:00-04:00,29630.929157025705,218.2833718971815,0.9864427228567634,tp1,True,59.5,11.0
scalp-5m,5m,-1,2026-07-10 08:15:00-04:00,30113.5,30169.205972671294,30057.794027328706,,2,55.70597267129415,1.0,2026-07-10 09:30:00-04:00,30169.455972671294,-226.8238906851766,-1.017951396449008,stop,False,43.75,87.0
scalp-5m,5m,-1,2026-07-13 09:10:00-04:00,29997.5,30038.91123890967,29956.08876109033,,3,41.41123890966992,1.0,2026-07-13 09:30:00-04:00,29956.08876109033,243.9674334580195,0.9818889745936853,tp1,True,86.5,19.0
scalp-5m,5m,-1,2026-07-13 14:50:00-04:00,29783.5,29822.76887744324,29744.23112255676,,3,39.268877443239035,1.0,2026-07-13 15:10:00-04:00,29744.231122556765,231.1132646594342,0.9809009055304908,tp1,True,53.25,21.5
scalp-5m,5m,-1,2026-07-15 11:40:00-04:00,29895.5,29947.619789821016,29843.380210178984,,2,52.11978982101573,1.0,2026-07-15 11:50:00-04:00,29843.380210178984,205.47915928406292,0.9856100724393638,tp1,True,56.25,1.75
scalp-5m,5m,-1,2026-07-21 09:00:00-04:00,29443.25,29476.833363962076,29409.666636037924,,3,33.583363962075964,1.0,2026-07-21 09:25:00-04:00,29477.08336396208,-207.50018377245578,-1.029776647781004,stop,False,8.25,61.0
scalp-5m,5m,-1,2026-07-23 15:30:00-04:00,28838.25,28886.484215559023,28790.015784440977,,2,48.23421555902314,1.0,2026-07-23 15:40:00-04:00,28790.015784440977,189.93686223609257,0.9844508718280648,tp1,True,57.5,6.75
scalp-5m,5m,-1,2026-07-24 08:30:00-04:00,28922.5,28982.299811029014,28862.700188970986,,2,59.799811029013654,1.0,2026-07-24 09:00:00-04:00,28862.700188970986,236.19924411605462,0.9874581543470745,tp1,True,61.5,21.25
scalp-5m,5m,-1,2026-07-24 15:35:00-04:00,28552.0,28612.062821202162,28491.937178797838,,2,60.06282120216201,1.0,2026-07-24 16:40:00-04:00,28569.75,-74.0,-0.30801083981273386,eod,False,48.25,56.75
scalp-5m,5m,-1,2026-07-28 14:50:00-04:00,28230.75,28282.75022833166,28178.74977166834,,2,52.000228331660765,1.0,2026-07-28 15:00:00-04:00,28283.00022833166,-212.00091332664306,-1.0192306847889578,stop,False,12.75,68.5
scalp-5m,5m,-1,2026-08-05 12:30:00-04:00,30075.5,30145.29424821271,30005.70575178729,,1,69.79424821271095,1.0,2026-08-05 14:55:00-04:00,30005.70575178729,138.0884964254219,0.9892541288257131,tp1,True,73.5,30.0
scalp-5m,5m,-1,2026-08-05 15:15:00-04:00,30045.75,30070.869216349492,30020.630783650508,,4,25.11921634949249,1.0,2026-08-05 15:30:00-04:00,30020.630783650508,194.95373079593992,0.9701423806553124,tp1,True,41.5,10.0
scalp-5m,5m,-1,2026-08-10 11:55:00-04:00,30123.5,30175.550695562182,30071.449304437818,,2,52.05069556218223,1.0,2026-08-10 12:30:00-04:00,30071.449304437818,205.2027822487289,0.9855909706508338,tp1,True,100.25,14.5
scalp-5m,5m,-1,2026-08-10 13:25:00-04:00,30065.75,30126.14441782604,30005.35558217396,,2,60.39441782603899,1.0,2026-08-10 15:55:00-04:00,30005.35558217396,238.57767130415596,0.9875816337503193,tp1,True,64.0,10.0
scalp-5m,5m,-1,2026-08-11 12:40:00-04:00,29916.0,29964.03617873902,29867.96382126098,,2,48.036178739021125,1.0,2026-08-11 13:10:00-04:00,29867.96382126098,189.1447149560845,0.9843867680634064,tp1,True,59.75,6.25
scalp-5m,5m,-1,2026-08-11 13:55:00-04:00,29908.25,29948.704188618598,29867.795811381402,,3,40.45418861859798,1.0,2026-08-11 14:20:00-04:00,29867.795811381406,238.2251317115879,0.9814605106266993,tp1,True,55.0,6.75
scalp-5m,5m,1,2026-08-25 11:50:00-04:00,29537.5,29472.198031038555,29602.801968961445,,1,65.3019689614448,1.0,2026-08-25 16:40:00-04:00,29572.25,68.0,0.5206581140007291,eod,False,55.25,56.25
scalp-5m,5m,1,2026-08-26 10:30:00-04:00,29475.75,29408.435371867992,29543.064628132008,,1,67.31462813200778,1.0,2026-08-26 10:50:00-04:00,29543.064628132008,133.12925626401557,0.9888582909716265,tp1,True,71.5,13.25
scalp-5m,5m,1,2026-08-26 15:55:00-04:00,29576.5,29541.799073731367,29611.200926268633,,3,34.70092626863334,1.0,2026-08-26 16:00:00-04:00,29611.200926268633,203.70555761180003,0.9783867440830265,tp1,True,51.0,14.0
scalp-5m,5m,1,2026-08-28 08:40:00-04:00,29937.75,29875.05494948432,30000.44505051568,,1,62.695050515678304,1.0,2026-08-28 09:30:00-04:00,29874.80494948432,-127.39010103135661,-1.0159502224142865,stop,False,23.25,95.75
swing-4h,4h,1,2026-09-08 06:05:00-04:00,29860.015,29730.9586992934,29989.0713007066,,1,129.05630070660118,1.0,2026-09-08 10:00:00-04:00,29730.7086992934,-260.11260141320236,-1.0077485562078323,stop,False,105.73500000000058,144.51499999999942
scalp-5m,5m,1,2026-09-08 13:00:00-04:00,29910.0,29838.232031295294,29981.767968704706,,1,71.76796870470571,1.0,2026-09-08 14:45:00-04:00,29837.982031295294,-145.53593740941142,-1.0139337927218557,stop,False,10.75,111.0
scalp-5m,5m,1,2026-09-11 08:35:00-04:00,29643.75,29581.100018001016,29706.399981998984,,1,62.649981998984,1.0,2026-09-11 08:50:00-04:00,29706.399981998984,123.799963997968,0.9880287276058249,tp1,True,82.0,21.75
scalp-5m,5m,1,2026-09-16 08:45:00-04:00,29397.25,29361.783480636866,29432.716519363134,,3,35.46651936313356,1.0,2026-09-16 09:45:00-04:00,29432.716519363134,208.29911617880134,0.9788532956301429,tp1,True,67.75,33.5
scalp-5m,5m,1,2026-09-17 10:55:00-04:00,29681.0,29636.070523729526,29725.929476270474,,2,44.92947627047397,1.0,2026-09-17 11:40:00-04:00,29725.929476270474,176.71790508189588,0.9833071724343052,tp1,True,60.0,29.0
