book,tf,side,entry_time,entry,stop,tp1,tp2,qty,risk_pts,planned_rr,exit_time,exit_price,pnl,r,exit_reason,tp1_hit,mfe_pts,mae_pts
swing-4h,4h,1,2025-07-29 10:00:00-04:00,24804.735,24715.394813432245,24894.075186567756,,2,89.34018656775515,1.0,2025-07-29 15:00:00-04:00,24715.144813432245,-361.3607462710206,-1.0111931711631428,stop,False,23.764999999999418,97.23500000000058
swing-4h,4h,1,2025-08-12 10:00:00-04:00,24939.75,24862.726704138135,25016.773295861865,,2,77.02329586186534,1.0,2025-08-14 08:00:00-04:00,25089.681677934546,596.7267117381925,1.9368384105776604,tp1+stop,True,414.75,0.0
ote-1h,1h,1,2025-08-14 12:00:00-04:00,25160.76,25073.634191510697,25269.667260611626,,1,87.12580848930156,1.25,2025-08-14 16:00:00-04:00,25207.75,92.4800000000032,0.5307267823595525,eod,False,105.2400000000016,0.0
swing-4h,4h,1,2025-08-29 09:00:00-04:00,24860.97,24710.71729863434,25011.222701365663,,1,150.25270136566178,1.0,2025-08-29 10:00:00-04:00,24710.46729863434,-302.50540273132356,-1.0066554543839206,stop,False,0.0,159.72000000000116
swing-4h,4h,1,2025-09-05 10:00:00-04:00,24882.96,24684.689906670457,25081.23009332954,,1,198.27009332954185,1.0,2025-09-08 09:00:00-04:00,25081.23009332954,395.0401866590837,0.9962172812479921,tp1,True,279.2900000000009,91.95999999999913
swing-4h,4h,1,2025-09-10 14:00:00-04:00,25132.935,25002.527331718764,25263.34266828124,,1,130.40766828123742,1.0,2025-09-11 09:00:00-04:00,25263.34266828124,259.31533656247484,0.9942488044615402,tp1,True,150.5649999999987,61.93500000000131
swing-4h,4h,1,2025-10-03 10:00:00-04:00,26112.545,26026.127658711175,26198.96234128882,,2,86.41734128882308,1.0,2025-10-03 13:00:00-04:00,26025.877658711175,-349.6693651552923,-1.0115717515152174,stop,False,85.20500000000175,147.54499999999825
swing-4h,4h,1,2025-10-07 11:00:00-04:00,26098.665,25955.234994575738,26242.095005424264,,1,143.43000542426307,1.0,2025-10-08 10:00:00-04:00,26242.095005424264,285.36001084852614,0.9947709686144017,tp1,True,174.08499999999913,65.91500000000087
ote-1h,1h,-1,2025-10-21 11:00:00-04:00,26347.145,26414.75329509553,26262.63463113059,,1,67.60829509552786,1.25,2025-10-21 16:00:00-04:00,26333.0,26.790000000000873,0.1981265757563303,eod,False,55.39500000000044,43.10499999999956
swing-4h,4h,1,2025-11-12 09:00:00-05:00,26653.82,26505.949745071284,26801.690254928715,,1,147.87025492871544,1.0,2025-11-13 09:00:00-05:00,26505.699745071284,-297.7405098574309,-1.0067626853046414,stop,False,109.43000000000029,331.5699999999997
ote-1h,1h,-1,2025-12-04 11:00:00-05:00,26668.89,26740.39297408615,26579.511282392312,,1,71.50297408615006,1.25,2025-12-04 14:00:00-05:00,26579.511282392312,177.25743521537515,1.239510925809934,tp1,True,138.38999999999942,26.110000000000582
ote-1h,1h,-1,2025-12-10 08:00:00-05:00,26738.195,26791.985669112022,26670.95666360997,,1,53.79066911202244,1.25,2025-12-10 09:00:00-05:00,26670.95666360997,132.97667278005974,1.2360570613383475,tp1,True,129.4449999999997,0.0
swing-4h,4h,-1,2025-12-11 07:00:00-05:00,26727.155,26925.57109685553,26528.73890314447,,1,198.41609685552976,1.0,2025-12-11 09:00:00-05:00,26528.73890314447,395.3321937110595,0.9962200647433052,tp1,True,284.90499999999884,14.095000000001164
swing-4h,4h,1,2026-01-07 18:00:00-05:00,26633.315,26519.397947599395,26747.232052400603,,1,113.917052400604,1.0,2026-01-08 01:00:00-05:00,26519.147947599395,-229.834104801208,-1.0087783170203823,stop,False,15.18500000000131,159.3149999999987
swing-4h,4h,-1,2026-01-21 09:00:00-05:00,26079.945,26248.735365927118,25911.154634072882,,1,168.79036592711782,1.0,2026-01-21 10:00:00-05:00,26248.985365927118,-339.58073185423564,-1.0059245087508832,stop,False,0.0,212.0550000000003
swing-4h,4h,1,2026-04-12 18:00:00-04:00,25561.0,25478.636022000203,25643.363977999797,,2,82.3639779997975,1.0,2026-04-21 15:00:00-04:00,26383.57574744059,3287.302989762371,9.97797541350678,tp1+stop,True,1909.75,70.0
swing-4h,4h,1,2026-05-04 06:00:00-04:00,28268.46,28087.284152880904,28449.635847119094,,1,181.17584711909512,1.0,2026-05-04 08:00:00-04:00,28449.635847119094,360.85169423819025,0.9958603753650066,tp1,True,182.04000000000087,0.0
swing-4h,4h,1,2026-05-14 22:00:00-04:00,30088.0,29997.571072208888,30178.428927791112,,2,90.42892779111207,1.0,2026-05-15 01:00:00-04:00,29997.321072208888,-365.7157111644483,-1.0110584082375715,stop,False,74.5,238.5
swing-4h,4h,1,2026-06-01 22:00:00-04:00,30902.25,30840.438007722016,30964.061992277984,,3,61.811992277984245,1.0,2026-06-04 04:00:00-04:00,30922.68733075933,118.12398455596849,0.31850341711668423,tp1+stop,True,474.5,15.5
